Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Murray County,GA,North Murray High School,130384003849,2015,Teachers absent more than 10 days of the school year,6.00,,,,,,,,,,,
GA,Murray County,GA,North Murray High School,130384003849,2015,Teachers employed during current school year,61.00,,,,,,,,,,,
GA,Murray County,GA,North Murray High School,130384003849,2015,Teachers employed during both the current and previous school year,46.00,,,,,,,,,,,
GA,Murray County,GA,North Murray High School,130384003849,2015,High-School Counselors,3.00,,,,,,,,,,,
GA,Murray County,GA,North Murray High School,130384003849,2015,Total enrollment,,,2.00,4.00,0.00,202.00,4.00,760.00,25.00,997.00,89.00,31.00
GA,Murray County,GA,Murray County Schools Pre-K Center,130384004103,2015,Classroom Teachers,16.00,16.00,,,,,,,,,,
GA,Murray County,GA,Murray County Schools Pre-K Center,130384004103,2015,Classroom teachers in their first year of teaching,2.00,,,,,,,,,,,
GA,Murray County,GA,Murray County Schools Pre-K Center,130384004103,2015,Classroom teachers in their second year of teaching,1.00,,,,,,,,,,,
GA,Murray County,GA,Murray County Schools Pre-K Center,130384004103,2015,Teachers absent more than 10 days of the school year,0.00,,,,,,,,,,,
GA,Murray County,GA,Murray County Schools Pre-K Center,130384004103,2015,Teachers employed during current school year,37.00,,,,,,,,,,,
GA,Murray County,GA,Murray County Schools Pre-K Center,130384004103,2015,Teachers employed during both the current and previous school year,31.00,,,,,,,,,,,
GA,Murray County,GA,Murray County Schools Pre-K Center,130384004103,2015,High-School Counselors,0.00,,,,,,,,,,,
GA,Murray County,GA,Murray County Schools Pre-K Center,130384004103,2015,Total enrollment,,,4.00,0.00,0.00,85.00,4.00,262.00,4.00,359.00,38.00,0.00
GA,Murray County,GA,Bagley Middle School,130384002086,2015,Classroom Teachers,36.80,36.80,,,,,,,,,,
GA,Murray County,GA,Bagley Middle School,130384002086,2015,Classroom teachers in their first year of teaching,3.00,,,,,,,,,,,
GA,Murray County,GA,Bagley Middle School,130384002086,2015,Classroom teachers in their second year of teaching,1.00,,,,,,,,,,,
GA,Murray County,GA,Bagley Middle School,130384002086,2015,Teachers absent more than 10 days of the school year,8.00,,,,,,,,,,,
GA,Murray County,GA,Bagley Middle School,130384002086,2015,Teachers employed during current school year,37.00,,,,,,,,,,,
GA,Murray County,GA,Bagley Middle School,130384002086,2015,Teachers employed during both the current and previous school year,32.00,,,,,,,,,,,
