Lea State,LEA,School State,School,ID,Year,Category,Allegations,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
GA,Cobb County,GA,Lewis Elementary School,130129001973,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Cobb County,GA,Lewis Elementary School,130129001973,2015,Total enrollment,,2.00,46.00,0.00,133.00,139.00,295.00,31.00,646.00,110.00,10.00,88.00
GA,Cobb County,GA,Bullard Elementary School,130129002840,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Cobb County,GA,Bullard Elementary School,130129002840,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Cobb County,GA,Bullard Elementary School,130129002840,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Cobb County,GA,Bullard Elementary School,130129002840,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Cobb County,GA,Bullard Elementary School,130129002840,2015,Total enrollment,,4.00,31.00,0.00,118.00,88.00,607.00,37.00,885.00,140.00,4.00,58.00
GA,Cobb County,GA,Big Shanty Elementary School,130129000527,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Cobb County,GA,Big Shanty Elementary School,130129000527,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Cobb County,GA,Big Shanty Elementary School,130129000527,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Cobb County,GA,Big Shanty Elementary School,130129000527,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Cobb County,GA,Big Shanty Elementary School,130129000527,2015,Total enrollment,,4.00,28.00,0.00,127.00,178.00,322.00,43.00,702.00,107.00,7.00,46.00
GA,Cobb County,GA,Kennesaw Mountain High School,130129002365,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Cobb County,GA,Kennesaw Mountain High School,130129002365,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Cobb County,GA,Kennesaw Mountain High School,130129002365,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Cobb County,GA,Kennesaw Mountain High School,130129002365,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Cobb County,GA,Kennesaw Mountain High School,130129002365,2015,Total enrollment,,4.00,163.00,2.00,310.00,574.00,1051.00,67.00,2171.00,254.00,37.00,61.00
GA,Cobb County,GA,Palmer Middle School,130129002476,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Cobb County,GA,Palmer Middle School,130129002476,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Cobb County,GA,Palmer Middle School,130129002476,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Cobb County,GA,Palmer Middle School,130129002476,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Cobb County,GA,Palmer Middle School,130129002476,2015,Total enrollment,,4.00,43.00,4.00,175.00,265.00,466.00,61.00,1018.00,167.00,19.00,25.00
