Lea State,LEA,School State,School,ID,Year,Category,Allegations,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
GA,Cobb County,GA,Pickett's Mill Elementary,130129003732,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Cobb County,GA,Pickett's Mill Elementary,130129003732,2015,Total enrollment,,0.00,25.00,2.00,61.00,64.00,559.00,22.00,733.00,95.00,13.00,40.00
GA,Cobb County,GA,Ford Elementary School,130129002154,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Cobb County,GA,Ford Elementary School,130129002154,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Cobb County,GA,Ford Elementary School,130129002154,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Cobb County,GA,Ford Elementary School,130129002154,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Cobb County,GA,Ford Elementary School,130129002154,2015,Total enrollment,,2.00,22.00,0.00,43.00,64.00,574.00,19.00,724.00,95.00,13.00,10.00
GA,Cobb County,GA,Allatoona High School,130129003781,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Cobb County,GA,Allatoona High School,130129003781,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Cobb County,GA,Allatoona High School,130129003781,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Cobb County,GA,Allatoona High School,130129003781,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Cobb County,GA,Allatoona High School,130129003781,2015,Total enrollment,,4.00,52.00,4.00,133.00,313.00,1207.00,52.00,1765.00,215.00,46.00,16.00
GA,Cobb County,GA,Durham Middle School,130129002248,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Cobb County,GA,Durham Middle School,130129002248,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Cobb County,GA,Durham Middle School,130129002248,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Cobb County,GA,Durham Middle School,130129002248,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Cobb County,GA,Durham Middle School,130129002248,2015,Total enrollment,,2.00,43.00,0.00,64.00,121.00,781.00,28.00,1039.00,140.00,37.00,7.00
GA,Cobb County,GA,Baker Elementary School,130129002021,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Cobb County,GA,Baker Elementary School,130129002021,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Cobb County,GA,Baker Elementary School,130129002021,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Cobb County,GA,Baker Elementary School,130129002021,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Cobb County,GA,Baker Elementary School,130129002021,2015,Total enrollment,,2.00,37.00,2.00,130.00,283.00,277.00,55.00,786.00,110.00,16.00,64.00
GA,Cobb County,GA,Frey Elementary School,130129001490,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Cobb County,GA,Frey Elementary School,130129001490,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Cobb County,GA,Frey Elementary School,130129001490,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Cobb County,GA,Frey Elementary School,130129001490,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Cobb County,GA,Frey Elementary School,130129001490,2015,Total enrollment,,4.00,28.00,2.00,73.00,112.00,514.00,37.00,770.00,110.00,0.00,28.00

